location,latitude,longitude,aqi,last_updated,size
"Coyhaique, Chile",-45.57996447948,-72.061125987766,219,2024-05-27T18:00:00+09:00,1
"Vialidad, Chile",-45.40680023471,-72.696259617805,38,2024-05-27T17:00:00+09:00,1
"Punta Arenas, Chile",-53.158295492238,-70.921497482453,17,2024-05-27T18:00:00+09:00,1
"Invercargill Invercargill At Pomona Street, New Zealand",-46.431928390214,168.36991681188,9,2024-05-27T17:00:00+09:00,1
"Gore Gore At Main Street, New Zealand",-46.10620888899,168.9396792352,26,2024-05-27T17:00:00+09:00,1
"Tatuí, São Paulo, Brazil",-23.360751538,-47.870799066,7,2024-05-27T17:00:00+09:00,1
"Nueva Libertad, Chile",-36.735998,-73.118693,177,2024-05-27T18:00:00+09:00,1
"Pudahuel, Chile",-33.437811379126,-70.750171233135,167,2024-05-27T17:00:00+09:00,1
"Carapina, Espírito Santo, Brazil",-20.2322,-40.25489,0,2024-05-25T20:00:00+09:00,1
"Dock Sud 1, Acumar, Argentina",-34.657988,-58.342538,68,2024-05-27T18:00:00+09:00,1
"Santos-Ponta da Praia, São Paulo, Brazil",-23.981295157,-46.300509594,46,2024-05-27T18:00:00+09:00,1
"Marília, São Paulo, Brazil",-22.199809487,-49.959969746,7,2024-05-27T18:00:00+09:00,1
"Osasco, São Paulo, Brazil",-23.526721419,-46.792077661,25,2024-05-27T18:00:00+09:00,1
"Valdivia 2, Chile",-39.805429279912,-73.258729546745,214,2024-05-27T18:00:00+09:00,1
"Lautaro, Chile",-37.508937992394,-72.656092617752,355,2024-05-27T17:00:00+09:00,1
"Cerro Navia, Chile",-33.433089610143,-70.732147868717,159,2024-05-27T17:00:00+09:00,1
"La Greda, Chile",-32.748154,-71.474204,59,2024-05-27T18:00:00+09:00,1
"Araçatuba, São Paulo, Brazil",-21.1868411,-50.43931685,10,2024-05-27T18:00:00+09:00,1
"Guaratinguetá, São Paulo, Brazil",-22.801917139,-45.19112236,25,2024-05-27T16:00:00+09:00,1
"Jundiaí, São Paulo, Brazil",-23.192003743,-46.897097273,17,2024-05-27T18:00:00+09:00,1
"Piracicaba, São Paulo, Brazil",-22.70122234,-47.64965269,21,2024-05-27T18:00:00+09:00,1
"Huasco Sivica, Chile",-28.469998068842,-71.219652562817,13,2024-05-27T18:00:00+09:00,1
"Los Chillos, Quito, Ecuador",-0.297062,-78.455248,43,2024-05-27T17:00:00+09:00,1
"Valdivia, Chile",-39.831316104673,-73.22851282209,152,2024-05-27T17:00:00+09:00,1
"Cauquenes Sivica, Chile",-35.969115075775,-72.316818237305,61,2024-05-27T18:00:00+09:00,1
"Super Site, Chile",-22.085864134728,-70.188415616234,59,2024-05-27T18:00:00+09:00,1
"Balneario Curanilahue, Chile",-37.485131692556,-73.331626473541,53,2024-05-27T17:00:00+09:00,1
"Catanduva, São Paulo, Brazil",-21.141942758,-48.983075271,10,2024-05-27T18:00:00+09:00,1
"Mirasol, Chile",-41.4795069236,-72.968755930145,65,2024-05-27T16:00:00+09:00,1
"Coquimbo, Chile",-29.970390235273,-71.336038250122,53,2024-05-27T18:00:00+09:00,1
"Jacareí, São Paulo, Brazil",-23.294199244,-45.968233864,0,2024-05-27T00:00:00+09:00,1
"Quintero, Chile",-32.772516452112,-71.535303287094,70,2024-05-27T17:00:00+09:00,1
"Alto Hospicio, Chile",-20.290466881209,-70.100192427636,30,2024-05-27T18:00:00+09:00,1
"Carapungo, Quito, Ecuador",-0.095472,-78.449809,55,2024-05-27T17:00:00+09:00,1
"Laranjeiras, Espírito Santo, Brazil",-20.19614,-40.24521,0,2024-05-25T05:00:00+09:00,1
"Las Encinas Temuco, Chile",-38.74869912298,-72.620788228172,166,2024-05-27T17:00:00+09:00,1
"JUNJI, Chile",-36.780632,-73.115657,151,2024-05-27T18:00:00+09:00,1
"Rengo, Chile",-34.394541417902,-70.852981542328,42,2024-05-27T17:00:00+09:00,1
"Curicó, Chile",-34.974925077541,-71.233967512329,129,2024-05-27T17:00:00+09:00,1
"San Juan De Lurigancho, Lima, Peru",-11.98164,-76.99925,100,2024-05-27T18:00:00+09:00,1
"Sorocaba, São Paulo, Brazil",-23.502426584,-47.479029912,16,2024-05-27T18:00:00+09:00,1
"Puren, Chile",-36.616167751711,-72.093040558483,190,2024-05-27T17:00:00+09:00,1
"Cuerpo De Bomberos, Chile",-32.885091,-71.246854,70,2024-05-27T17:00:00+09:00,1
"Cuncumen , Chile",-31.889278312544,-70.629311769684,17,2024-05-27T17:00:00+09:00,1
"Araraquara, São Paulo, Brazil",-21.782522146,-48.185831813,11,2024-05-27T18:00:00+09:00,1
"Padre Las Casas II, Chile",-38.764767451719,-72.598795682209,151,2024-05-27T17:00:00+09:00,1
"San Fernando, Chile",-27.393267718517,-70.298615435165,80,2024-05-27T18:00:00+09:00,1
"Vila Velha - IBES, Espírito Santo, Brazil",-20.34865,-40.31742,17,2024-05-27T18:00:00+09:00,1
"Estación Centro, Chile",-22.462144644634,-68.92806169339,29,2024-05-27T17:00:00+09:00,1
"Osorno, Chile",-40.584478665958,-73.11871982209,255,2024-05-27T18:00:00+09:00,1
"Bauru, São Paulo, Brazil",-22.326608397,-49.092759305,17,2024-05-27T18:00:00+09:00,1
"São José do Rio Preto, São Paulo, Brazil",-20.784689284,-49.398277793,50,2024-05-27T18:00:00+09:00,1
"estacion01, Cuenca, Ecuador",-2.897,-79.003,17,2024-05-27T17:00:00+09:00,1
"Congonhas, São Paulo, Brazil",-23.616320079,-46.663465527,34,2024-05-27T18:00:00+09:00,1
"Ribeirão Preto, São Paulo, Brazil",-21.177065942,-47.818987671,25,2024-05-27T17:00:00+09:00,1
"Presidente Prudente, São Paulo, Brazil",-22.119936735,-51.408777068,6,2024-05-27T18:00:00+09:00,1
"Arica, Chile",-18.47683929771,-70.287911433372,55,2024-05-27T18:00:00+09:00,1
"Jaú, São Paulo, Brazil",-22.298619664,-48.567457405,7,2024-05-27T18:00:00+09:00,1
"S.José Campos, São Paulo, Brazil",-23.18788733,-45.871197623,9,2024-05-27T18:00:00+09:00,1
