location,latitude,longitude,aqi,last_updated,size
"Coyhaique II, Chile",-45.579045667164,-72.049964505825,152,2024-05-27T03:00:00+09:00,1
"Vialidad, Chile",-45.40680023471,-72.696259617805,57,2024-05-27T04:00:00+09:00,1
"Punta Arenas, Chile",-53.158295492238,-70.921497482453,5,2024-05-27T04:00:00+09:00,1
"Gore Gore At Main Street, New Zealand",-46.10620888899,168.9396792352,9,2024-05-27T03:00:00+09:00,1
"Invercargill Invercargill At Pomona Street, New Zealand",-46.431928390214,168.36991681188,9,2024-05-27T03:00:00+09:00,1
"Eme F, Chile",-28.466423001884,-71.221554279327,17,2024-05-27T04:00:00+09:00,1
"Club Deportivo 23 De Marzo, Chile",-22.460270722943,-68.937706917007,39,2024-05-27T04:00:00+09:00,1
"estacion01, Cuenca, Ecuador",-2.897,-79.003,34,2024-05-27T03:00:00+09:00,1
"Guaratinguetá, São Paulo, Brazil",-22.801917139,-45.19112236,24,2024-05-27T03:00:00+09:00,1
"Piracicaba, São Paulo, Brazil",-22.70122234,-47.64965269,21,2024-05-27T04:00:00+09:00,1
"Valdivia, Chile",-39.831316104673,-73.22851282209,63,2024-05-27T04:00:00+09:00,1
"Alerce, Chile",-41.399169537038,-72.899522781372,63,2024-05-27T04:00:00+09:00,1
"Padre Las Casas II, Chile",-38.764767451719,-72.598795682209,124,2024-05-27T04:00:00+09:00,1
"Guamaní, Quito, Ecuador",-0.333949,-78.553416,64,2024-05-27T03:00:00+09:00,1
"Carapina, Espírito Santo, Brazil",-20.2322,-40.25489,0,2024-05-25T20:00:00+09:00,1
"Osasco, São Paulo, Brazil",-23.526721419,-46.792077661,38,2024-05-27T03:00:00+09:00,1
"Punteras, Chile",-36.923329602986,-73.036132300941,109,2024-05-27T03:00:00+09:00,1
"Universidad de Talca, Chile",-35.406582744695,-71.633396474869,107,2024-05-27T04:00:00+09:00,1
"Concón, Chile",-32.924568,-71.515399,865,2024-05-27T04:00:00+09:00,1
"Araçatuba, São Paulo, Brazil",-21.1868411,-50.43931685,15,2024-05-27T04:00:00+09:00,1
"Catanduva, São Paulo, Brazil",-21.141942758,-48.983075271,22,2024-05-27T04:00:00+09:00,1
"Alto Hospicio, Chile",-20.290466881209,-70.100192427636,13,2024-05-27T04:00:00+09:00,1
"Santos-Ponta da Praia, São Paulo, Brazil",-23.981295157,-46.300509594,34,2024-05-27T04:00:00+09:00,1
"Taubaté, São Paulo, Brazil",-23.032350959,-45.575805025,9,2024-05-27T04:00:00+09:00,1
"Rancagua I, Chile",-34.162314609087,-70.713919225517,34,2024-05-27T03:00:00+09:00,1
